任务描述,任务描述
版块ID,版块ID
一共,一共
所属国家：,所属国家：
Eav属性集,Eav属性集
头像,头像
必须选择一个多值类型,必须选择一个多值类型
环比,环比
图标,图标
恢复,恢复
"这篇文章安全的保留下来了！","这篇文章安全的保留下来了！"
Bbs应用面板,Bbs应用面板
组名,组名
开发工具,开发工具
主题布局,主题布局
URL管理器,URL管理器
'欢迎来到命令交互世界！','欢迎来到命令交互世界！'
Eav属性归组,Eav属性归组
三月,三月
缓存,缓存
收集时间,收集时间
面板,面板
属性,属性
"开启后，保持内容最大化","开启后，保持内容最大化"
角色管理,角色管理
二月,二月
紧凑布局,紧凑布局
国家管理：帮助建立对应国家的i18n翻译。,国家管理：帮助建立对应国家的i18n翻译。
通知,通知
一共有,一共有
Eav属性：管理实体属性,Eav属性：管理实体属性
四月,四月
新浏览者,新浏览者
Smtp用户名录入成功,Smtp用户名录入成功
已安装,已安装
1月,1月
说明,说明
请个Smtp用户密码,请个Smtp用户密码
五月,五月
是否是系统生成,是否是系统生成
安装国家,安装国家
调度状态,调度状态
新增文章,新增文章
词典管理,词典管理
国家,国家
发布,发布
水平布局,水平布局
属性名,属性名
返回,返回
社媒来源,社媒来源
支持角色权限管理,支持角色权限管理
属性名(最短三个字符),属性名(最短三个字符)
默认,默认
目录管理,目录管理
属性类型,属性类型
缓存管理,缓存管理
实体ID,实体ID
退出,退出
属性信息编辑,属性修改时某些信息是不能修改的，否则数据结构会异常。但是你可以删除这个属性然后使用相同的属性代码（code）创建其他类型的属性。,属性信息编辑,属性修改时某些信息是不能修改的，否则数据结构会异常。但是你可以删除这个属性然后使用相同的属性代码（code）创建其他类型的属性。
地区列表,地区列表
默认尺寸,默认尺寸
管理员,管理员
Eav_>_属性组,Eav_>_属性组
国家名称,国家名称
菜单管理,菜单管理
前端模板库,前端模板库
邮箱,邮箱
'Bbs论坛','Bbs论坛'
用户管理,用户管理
是否有配置项,是否有配置项
分配,分配
模板文件：%1_END,模板文件：%1_END
是否禁用,是否禁用
运行时错误日期,运行时错误日期
Acl权限分配,Acl权限分配
暂无记录,暂无记录
复制,复制
提示！,提示！
是否系统生成,是否系统生成
上次运行日期,上次运行日期
Eav属性组,Eav属性组
发送,发送
下一页,下一页
最后一页,最后一页
只需要在前端或者后端刷新页面，或者使用命令：php bin/m cache:warm 也可以收集到大部分词。,只需要在前端或者后端刷新页面，或者使用命令：php bin/m cache:warm 也可以收集到大部分词。
插件管理,插件管理
Eav实体,Eav实体
是否安装,是否安装
系统属性,系统属性
用户,用户
系统实体,系统实体
搜索 ...,搜索 ...
管理员用户角色归属分配,管理员用户角色归属分配
添加,添加
Acl资源,Acl资源
1年,1年
Fancy,Fancy
没有特定配置项,没有特定配置项
Eav,Eav
后端模板库,后端模板库
'版本','版本'
提示：使用词典收集功能请先开启在线收集词语功能。开启命令：php_bin/m_translate:model:set_online,提示：使用词典收集功能请先开启在线收集词语功能。开启命令：php_bin/m_translate:model:set_online
Smtp主机录入成功,Smtp主机录入成功
标题,标题
调度任务,调度任务
一月,一月
<?=($task,<?=($task
刷新来自前端采集到的词。,刷新来自前端采集到的词。
属性集代码,属性集代码
是否多值,是否多值
